timeList,value
"29,11,2017,17,48,49",6642
"29,11,2017,17,48,50",6658
"29,11,2017,17,48,51",6674
"29,11,2017,17,48,53",6690
"29,11,2017,17,48,54",6706
"29,11,2017,17,49,13",6722
"29,11,2017,17,49,16",6738
"29,11,2017,17,49,18",6754
"29,11,2017,17,54,21",6770
"29,11,2017,17,54,21",6786
"29,11,2017,17,54,29",6802
"29,11,2017,17,54,30",6818
"29,11,2017,17,54,38",6834
"29,11,2017,17,54,43",6850
"29,11,2017,17,54,43",6867
"29,11,2017,17,55,00",6883
"29,11,2017,17,55,00",6899
"29,11,2017,17,55,01",6915
"29,11,2017,17,55,01",6931
"29,11,2017,17,55,01",6947
"29,11,2017,17,55,01",6963
"29,11,2017,17,55,01",6979
"29,11,2017,17,55,01",6995
"29,11,2017,17,55,02",7011
"29,11,2017,17,55,02",7027
"29,11,2017,17,55,03",7043
"29,11,2017,17,55,09",7059
"29,11,2017,17,55,12",7075
"29,11,2017,17,55,13",7091
"29,11,2017,17,55,14",7107
"29,11,2017,17,55,58",7123
"29,11,2017,17,56,01",7139
"29,11,2017,17,56,03",7155
"29,11,2017,17,56,04",7171
"29,11,2017,17,56,05",7187
"29,11,2017,17,56,21",7203
"29,11,2017,17,56,43",7219
"29,11,2017,17,56,45",7235
"29,11,2017,17,57,38",7251
"29,11,2017,17,57,39",7267
"29,11,2017,17,57,39",7283
"29,11,2017,17,57,39",7299
"29,11,2017,17,57,52",7315
"29,11,2017,17,57,56",7331
"29,11,2017,17,57,56",7347
"29,11,2017,17,58,13",7363
"29,11,2017,17,58,23",7379
"29,11,2017,17,58,23",7395
"29,11,2017,17,58,23",7411
"29,11,2017,17,58,36",7427
"29,11,2017,17,58,44",7443
"29,11,2017,17,58,45",7459
"29,11,2017,18,00,13",7475
"29,11,2017,18,12,11",7491
"29,11,2017,18,12,12",7507
"29,11,2017,18,12,21",7523
"29,11,2017,18,12,26",7539
"29,11,2017,18,12,35",7555
"29,11,2017,18,13,02",7571
"29,11,2017,18,13,07",7587
"29,11,2017,18,15,39",7603
"29,11,2017,18,17,50",7619
"29,11,2017,18,17,54",7635
"29,11,2017,18,17,57",7651
"29,11,2017,18,18,05",7667
"29,11,2017,18,20,45",7683
"29,11,2017,18,22,34",7699
"29,11,2017,18,22,37",7715
"29,11,2017,18,22,39",7731
"29,11,2017,18,22,44",7747
"29,11,2017,18,22,48",7763
"29,11,2017,18,22,53",7779
"29,11,2017,18,23,01",7795
"29,11,2017,18,23,09",7811
"29,11,2017,18,23,09",7827
"29,11,2017,18,23,17",7843
"29,11,2017,18,23,18",7859
"29,11,2017,18,23,21",7875
"29,11,2017,18,23,24",7891
"29,11,2017,18,24,57",7907
"29,11,2017,18,25,02",7923
"29,11,2017,18,25,07",7939
"29,11,2017,18,25,15",7955
"29,11,2017,18,25,27",7971
"29,11,2017,18,25,27",7987
"29,11,2017,18,25,27",8003
"29,11,2017,18,25,59",8019
"29,11,2017,18,26,01",8035
"29,11,2017,18,26,04",8051
"29,11,2017,18,26,08",8067
"29,11,2017,18,26,10",8083
"29,11,2017,18,26,12",8099
"29,11,2017,18,26,17",8115
"29,11,2017,18,26,28",8131
"29,11,2017,18,27,33",8147
"29,11,2017,18,27,43",8163
"29,11,2017,18,27,52",8179
"29,11,2017,18,28,09",8195
"29,11,2017,18,28,20",8211
"29,11,2017,18,28,27",8227
"29,11,2017,18,28,32",8243
"29,11,2017,18,40,15",8259
"29,11,2017,18,40,16",8275
"29,11,2017,18,40,16",8291
"29,11,2017,18,40,16",8307
"29,11,2017,18,40,16",8323
"29,11,2017,18,40,16",8339
"29,11,2017,18,40,16",8355
"29,11,2017,18,40,16",8371
"29,11,2017,18,40,17",8387
"29,11,2017,18,40,17",8403
"29,11,2017,18,40,18",8419
"29,11,2017,18,40,25",8435
"29,11,2017,18,40,27",8451
"29,11,2017,18,40,40",8467
"29,11,2017,18,40,41",8483
"29,11,2017,19,02,03",8499
"29,11,2017,19,02,03",8515
"29,11,2017,19,02,03",8531
"29,11,2017,19,02,03",8547
"29,11,2017,19,02,04",8563
"29,11,2017,19,02,04",8579
"29,11,2017,19,02,04",8595
"29,11,2017,19,02,04",8611
"29,11,2017,19,02,04",8627
"29,11,2017,19,02,04",8643
"29,11,2017,19,02,06",8659
"29,11,2017,19,02,33",8675
"29,11,2017,19,02,35",8691
"29,11,2017,19,02,37",8707
"29,11,2017,19,02,38",8723
"29,11,2017,19,22,12",8739
"29,11,2017,21,51,57",8755
"29,11,2017,21,51,57",8771
"29,11,2017,21,51,57",8787
"29,11,2017,21,51,57",8803
"29,11,2017,21,51,57",8819
"29,11,2017,21,51,57",8835
"29,11,2017,21,51,57",8851
"29,11,2017,21,51,57",8867
"29,11,2017,21,51,57",8883
"29,11,2017,21,51,57",8899
"29,11,2017,21,51,57",8915
"29,11,2017,21,51,57",8931
"29,11,2017,21,51,57",8947
"29,11,2017,21,52,20",8963
"29,11,2017,21,52,20",8979
"29,11,2017,21,52,20",8995
"29,11,2017,21,52,20",9011
"29,11,2017,21,52,36",9027
"29,11,2017,21,53,01",9043
"29,11,2017,21,53,26",9059
"29,11,2017,21,53,26",9075
"29,11,2017,21,53,33",9091
"29,11,2017,21,53,33",9107
"29,11,2017,22,21,16",9123
"29,11,2017,22,21,16",9139
"29,11,2017,22,21,17",9156
"29,11,2017,22,21,17",9172
"29,11,2017,22,21,17",9188
"29,11,2017,22,21,17",9204
"29,11,2017,22,21,17",9220
"29,11,2017,22,21,17",9236
"29,11,2017,22,21,17",9252
"29,11,2017,22,21,18",9268
"30,11,2017,03,22,03",9284
"30,11,2017,03,22,03",9300
"30,11,2017,03,22,03",9316
"30,11,2017,03,22,03",9332
"30,11,2017,03,22,03",9348
"30,11,2017,03,22,03",9364
"30,11,2017,03,22,03",9380
"30,11,2017,03,22,03",9396
"30,11,2017,03,22,03",9412
"30,11,2017,03,22,03",9428
"30,11,2017,06,31,33",9444
"30,11,2017,06,31,33",9460
"30,11,2017,06,31,39",9476
"30,11,2017,06,31,40",9492
"30,11,2017,06,31,47",9508
"30,11,2017,06,31,48",9524
"30,11,2017,06,31,52",9540
"30,11,2017,06,32,06",9556
"30,11,2017,06,32,39",9572
"30,11,2017,06,32,42",9588
"30,11,2017,06,32,46",9604
"30,11,2017,06,33,11",9620
"30,11,2017,06,33,14",9636
"30,11,2017,06,33,16",9652
"30,11,2017,06,33,40",9668
"30,11,2017,06,33,42",9684
"30,11,2017,06,33,46",9700
"30,11,2017,06,34,04",9716
"30,11,2017,06,34,07",9732
"30,11,2017,06,34,15",9748
"30,11,2017,06,34,23",9764
"30,11,2017,06,34,45",9780
"30,11,2017,06,35,31",9796
"30,11,2017,06,38,09",9812
"30,11,2017,06,38,09",9828
"30,11,2017,06,46,22",9844
"30,11,2017,06,47,09",9860
"30,11,2017,06,47,21",9876
"30,11,2017,06,47,26",9892
"30,11,2017,06,48,03",9908
"30,11,2017,06,48,18",9924
"30,11,2017,07,06,51",9940
"30,11,2017,07,06,51",9956
"30,11,2017,07,06,51",9972
"30,11,2017,07,06,51",9988
"30,11,2017,07,06,51",10004
"30,11,2017,07,06,52",10020
"30,11,2017,07,06,52",10036
"30,11,2017,07,06,52",10052
"30,11,2017,07,06,52",10068
"30,11,2017,07,06,52",10084
"30,11,2017,07,06,54",10100
"30,11,2017,07,06,58",10116
"30,11,2017,07,06,59",10132
"30,11,2017,07,07,02",10148
"30,11,2017,07,07,24",10164
"30,11,2017,07,07,26",10180
"30,11,2017,07,07,45",10196
"30,11,2017,07,07,45",10212
"30,11,2017,07,07,56",10228
"30,11,2017,07,07,57",10244
"30,11,2017,07,07,57",10260
"30,11,2017,07,07,57",10276
"30,11,2017,07,08,06",10292
"30,11,2017,07,08,06",10308
"30,11,2017,07,24,34",10324
"30,11,2017,07,24,34",10340
"30,11,2017,07,24,34",10356
"30,11,2017,07,24,35",10372
"30,11,2017,07,24,35",10388
"30,11,2017,07,26,06",10404
"30,11,2017,07,26,10",10420
"30,11,2017,07,26,14",10436
"30,11,2017,07,52,35",10452
"30,11,2017,07,52,35",10468
"30,11,2017,07,52,36",10484
"30,11,2017,07,52,36",10500
"30,11,2017,07,52,37",10516
"30,11,2017,07,52,38",10532
"30,11,2017,07,52,38",10548
"30,11,2017,07,52,38",10564
"30,11,2017,07,52,42",10580
"30,11,2017,07,52,43",10596
"30,11,2017,07,52,58",10612
"30,11,2017,07,53,25",10628
"30,11,2017,08,08,51",10644
"30,11,2017,08,46,53",10660
"30,11,2017,08,46,54",10676
"30,11,2017,08,46,58",10692
"30,11,2017,08,46,59",10708
"30,11,2017,08,47,01",10724
"30,11,2017,08,47,03",10740
"30,11,2017,08,47,05",10756
"30,11,2017,08,47,07",10772
"30,11,2017,08,47,08",10788
"30,11,2017,08,47,09",10804
"30,11,2017,08,47,11",10820
"30,11,2017,08,47,12",10836
"30,11,2017,08,53,27",10852
"30,11,2017,08,53,27",10868
"30,11,2017,09,35,29",10884
"30,11,2017,09,35,30",10900
"30,11,2017,09,35,30",10916
"30,11,2017,09,35,30",10932
"30,11,2017,09,35,31",10948
"30,11,2017,09,35,31",10964
"30,11,2017,09,35,31",10980
"30,11,2017,09,35,31",10996
"30,11,2017,09,35,31",11012
"30,11,2017,09,35,31",11028
"30,11,2017,09,35,33",11044
"30,11,2017,09,35,34",11060
"30,11,2017,09,35,43",11076
"30,11,2017,09,35,43",11092
"30,11,2017,09,35,50",11108
"30,11,2017,09,35,53",11124
"30,11,2017,09,35,55",11140
"30,11,2017,09,35,56",11156
"30,11,2017,09,35,56",11172
"30,11,2017,09,35,57",11188
"30,11,2017,09,36,00",11204
"30,11,2017,09,56,07",11220
"30,11,2017,09,56,07",11236
"30,11,2017,09,56,08",11252
"30,11,2017,09,56,08",11268
"30,11,2017,09,56,08",11284
"30,11,2017,09,56,09",11300
"30,11,2017,09,56,09",11316
"30,11,2017,09,56,09",11332
"30,11,2017,09,56,09",11348
"30,11,2017,09,56,10",11364
"30,11,2017,09,56,11",11380
"30,11,2017,09,56,25",11396
"30,11,2017,09,56,25",11412
"30,11,2017,09,56,28",11428
"30,11,2017,09,56,31",11445
"30,11,2017,09,56,36",11461
"30,11,2017,09,56,47",11477
"30,11,2017,09,56,48",11493
"30,11,2017,10,28,32",11509
"30,11,2017,10,40,24",11525
"30,11,2017,10,40,32",11541
"30,11,2017,10,40,34",11557
"30,11,2017,10,40,37",11573
"30,11,2017,11,55,40",11589
"30,11,2017,11,55,40",11605
"30,11,2017,11,55,41",11621
"30,11,2017,11,55,41",11637
"30,11,2017,11,55,41",11653
"30,11,2017,11,55,41",11669
"30,11,2017,11,55,41",11685
"30,11,2017,11,55,41",11701
"30,11,2017,11,55,41",11717
"30,11,2017,11,55,41",11733
"30,11,2017,11,55,42",11749
"30,11,2017,11,55,50",11765
"30,11,2017,11,55,50",11781
"30,11,2017,11,55,51",11797
"30,11,2017,11,55,51",11813
"30,11,2017,11,55,54",11829
"30,11,2017,11,56,00",11845
"30,11,2017,11,56,00",11861
"30,11,2017,11,56,22",11877
"30,11,2017,11,56,28",11893
"30,11,2017,11,56,29",11909
"30,11,2017,12,00,03",11925
"30,11,2017,12,02,41",11941
"30,11,2017,12,02,41",11957
"30,11,2017,12,02,41",11973
"30,11,2017,12,02,41",11989
"30,11,2017,12,02,41",12005
"30,11,2017,12,02,41",12021
"30,11,2017,12,02,41",12037
"30,11,2017,12,02,41",12053
"30,11,2017,12,02,41",12069
"30,11,2017,12,02,41",12085
"30,11,2017,12,02,41",12101
"30,11,2017,12,02,41",12117
"30,11,2017,12,02,41",12133
"30,11,2017,12,02,44",12149
"30,11,2017,12,02,44",12165
"30,11,2017,12,05,02",12181
"30,11,2017,12,05,02",12197
"30,11,2017,12,05,03",12213
"30,11,2017,12,05,03",12229
"30,11,2017,12,05,03",12245
"30,11,2017,12,05,03",12261
"30,11,2017,12,05,03",12277
"30,11,2017,12,05,03",12293
"30,11,2017,12,05,03",12309
"30,11,2017,12,05,03",12325
"30,11,2017,12,05,03",12341
"30,11,2017,12,05,03",12357
